find_id,admin_division,place,period,denomination,material,issuer,mint,start_year,end_year,imported,owner,reference
47,Proszowice,Opatkowice,Roman (Römer),As (As) ,Bronze (Ae),Antoninus Pius (Antoninus Pius),Roma (Rom) ,145,161,17/03/2023,FRC-PL,https://coindb-prod.ocean.icm.edu.pl/AFE_PL/show_coin?coin_id=47
48,Proszowice,Opatkowice,Roman (Römer),Denarius (Denarius) ,Silver (Ag),Antoninus Pius (Antoninus Pius),Roma (Rom) ,151,152,17/03/2023,FRC-PL,https://coindb-prod.ocean.icm.edu.pl/AFE_PL/show_coin?coin_id=48
50,Igołomia-Wawrzeńczyce,Igołomia,Roman (Römer),Denarius (Denarius) ,Silver (Ag),Hadrianus (Hadrianus), ,119,122,17/03/2023,FRC-PL,https://coindb-prod.ocean.icm.edu.pl/AFE_PL/show_coin?coin_id=50
52,Igołomia-Wawrzeńczyce,Igołomia,Roman (Römer),Sestertius (Sestertius) ,Bronze (Ae),Commodus (Commodus),Roma (Rom) ,190,190,17/03/2023,FRC-PL,https://coindb-prod.ocean.icm.edu.pl/AFE_PL/show_coin?coin_id=52
53,Snyatȳvs'kȳǐ raǐon,Beleluya,Roman (Römer),Solidus (Solidus) ,Gold (Au),Honorius (Honorius), ,395,423,17/03/2023,FRC-PL,https://coindb-prod.ocean.icm.edu.pl/AFE_PL/show_coin?coin_id=53
54,Snyatȳvs'kȳǐ raǐon,Beleluya,Roman (Römer),Denarius (Denarius) ,Silver (Ag),Antoninus Pius (Antoninus Pius),Roma (Rom) ,138,161,17/03/2023,FRC-PL,https://coindb-prod.ocean.icm.edu.pl/AFE_PL/show_coin?coin_id=54
55,Snyatȳvs'kȳǐ raǐon,Beleluya,Roman (Römer),Solidus (Solidus) ,Gold (Au),House of Theodosius (Theodosianische Dynastie), ,,,17/03/2023,FRC-PL,https://coindb-prod.ocean.icm.edu.pl/AFE_PL/show_coin?coin_id=55
56,Gorodenkivs'kȳǐ raǐon,,Byzantine (Byzantiner),Solidus (Solidus) ,Gold (Au),Iustinianus I (Iustinianus I.),Constantinopolis (Con) ,527,565,17/03/2023,FRC-PL,https://coindb-prod.ocean.icm.edu.pl/AFE_PL/show_coin?coin_id=56
57,Kietrz,,Roman (Römer),Denarius (Denarius) ,Silver (Ag),Republic (Republik),Roma (Rom) ,81,81,17/03/2023,FRC-PL,https://coindb-prod.ocean.icm.edu.pl/AFE_PL/show_coin?coin_id=57
58,Czermin,Otałęż,Roman (Römer),Denarius (Denarius) ,Silver (Ag),Republic (Republik),Roma (Rom) ,91,91,17/03/2023,FRC-PL,https://coindb-prod.ocean.icm.edu.pl/AFE_PL/show_coin?coin_id=58
